Distributor,Name,URL ,Dosage (mg),Per Measure,Measure,Dosage per measure,Product Image,,,,,Amazon Associate ID 
Amazon,Zinc 220mg [High Potency] Supplement – Zinc Sulfate for Immune Support System 100 Tablets,https://www.amazon.com/Zinc-220mg-High-Potency-Supplement/dp/B08P7TM22H/ref=sr_1_2_sspa?crid=2C7H75RHDJYC7 ,50,1,tablet,50,https://m.media-amazon.com/images/I/61zfq4ZSbXL._AC_SX679_.jpg,,,,,"<iframe sandbox=""allow-popups allow-scripts allow-modals allow-forms allow-same-origin"" style=""width:120px;height:240px;"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" frameborder=""0"" src=""//ws-na.amazon-adsystem.com/widgets/q?ServiceVersion=20070822&OneJS=1&Operation=GetAdHtml&MarketPlace=US&source=ss&ref=as_ss_li_til&ad_type=product_link&tracking_id=zincucsf-20&language=en_US&marketplace=amazon&region=US&placement=B08P7TM22H&asins=B08P7TM22H&linkId=0537faf096481b714cc9600e17e1bb50&show_border=false&link_opens_in_new_window=true""></iframe>"
Amazon,Zinc Supplements 50mg Picolinate for Kids,https://www.amazon.com/Vitamin-Supplements-Immune-Support-Picolinate/dp/B086YNRS94/ref=sr_1_3?crid=3N8M0GFQKHCTX ,50,1,tablet,50,https://m.media-amazon.com/images/I/71DMVW2zVFL._AC_SX679.jpg,,,,,"<iframe sandbox=""allow-popups allow-scripts allow-modals allow-forms allow-same-origin"" style=""width:120px;height:240px;"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" frameborder=""0"" src=""//ws-na.amazon-adsystem.com/widgets/q?ServiceVersion=20070822&OneJS=1&Operation=GetAdHtml&MarketPlace=US&source=ss&ref=as_ss_li_til&ad_type=product_link&tracking_id=&language=en_US&marketplace=amazon&region=US&placement=B086YNRS94&asins=B086YNRS94&linkId=5183f57c2468e9dc1a6b7994cc8d0b7f&show_border=false&link_opens_in_new_window=true""></iframe>"
Amazon,Ionic Liquid Zinc Drops for Kids & Toddlers ,https://www.amazon.com/Liquid-Toddlers-Sulfate-Immunity-Thyroid/dp/B0BZRNLTLF/ref=sr_1_3?crid=11VLQ1MYPED71,5.5,3,drop,1.833333333,https://m.media-amazon.com/images/I/71rafy3Ee-L._AC_SX679_.jpg,,,,,"<iframe sandbox=""allow-popups allow-scripts allow-modals allow-forms allow-same-origin"" style=""width:120px;height:240px;"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" frameborder=""0"" src=""//ws-na.amazon-adsystem.com/widgets/q?ServiceVersion=20070822&OneJS=1&Operation=GetAdHtml&MarketPlace=US&source=ss&ref=as_ss_li_til&ad_type=product_link&tracking_id=zincucsf-20&language=en_US&marketplace=amazon&region=US&placement=B0BZRNLTLF&asins=B0BZRNLTLF&linkId=cc6fddf230c083e2463199e36119d652&show_border=false&link_opens_in_new_window=true""></iframe>"
Amazon,"Ionic Liquid Zinc - 8 Month Supply, Adjustable Doses for Entire Family",https://www.amazon.com/Ionic-Liquid-Zinc-Adjustable-Supplements/dp/B0844QMHM2/ref=sr_1_2_sspa?crid=11VLQ1MYPED71 ,10,5,drop,2,https://m.media-amazon.com/images/I/71K4fL7EfHL._AC_SX679_.jpg,,,,,"<iframe sandbox=""allow-popups allow-scripts allow-modals allow-forms allow-same-origin"" style=""width:120px;height:240px;"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" frameborder=""0"" src=""//ws-na.amazon-adsystem.com/widgets/q?ServiceVersion=20070822&OneJS=1&Operation=GetAdHtml&MarketPlace=US&source=ss&ref=as_ss_li_til&ad_type=product_link&tracking_id=zincucsf-20&language=en_US&marketplace=amazon&region=US&placement=B0844QMHM2&asins=B0844QMHM2&linkId=eef7e012cb10638835fe322bb93dcd82&show_border=false&link_opens_in_new_window=true""></iframe>"
Amazon,"WellnessOne Ionic Zinc Liquid - Immune Support, Skin Care Zinc Supplements for Kids & Adult 100 Day Supply",https://www.amazon.com/Zinc-Mineral-Supplement-Supports-Serving/dp/B00HX3Q9VQ/ref=sr_1_3_sspa?crid=11VLQ1MYPED71&keywords=Zinc+sulfate+children&qid=1688075281&sprefix=zinc+sulfat+children%2Caps%2C130&sr=8-3-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,15,10,drop,1.5,https://m.media-amazon.com/images/I/714vClCJxgL.__AC_SX300.jpg,,,,,"<iframe sandbox=""allow-popups allow-scripts allow-modals allow-forms allow-same-origin"" style=""width:120px;height:240px;"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" frameborder=""0"" src=""//ws-na.amazon-adsystem.com/widgets/q?ServiceVersion=20070822&OneJS=1&Operation=GetAdHtml&MarketPlace=US&source=ss&ref=as_ss_li_til&ad_type=product_link&tracking_id=zincucsf-20&language=en_US&marketplace=amazon&region=US&placement=B00HX3Q9VQ&asins=B00HX3Q9VQ&linkId=16a4561a5c35f17b13fabaa9e598e7db&show_border=false&link_opens_in_new_window=true""></iframe>"
Amazon,Zinc Up+,https://www.amazon.com/Aerobic-Life-Zinc-Immunity-Supplement/dp/B08CRS29H9/ref=sr_1_4_sspa?crid=11VLQ1MYPED71&keywords=Zinc+sulfate+children&qid=1688075281&sprefix=zinc+sulfat+children%2Caps%2C130&sr=8-4-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,5,5,spray,1,https://m.media-amazon.com/images/I/413wfNtwLRL._AC_SX679.jpg,,,,,"<iframe sandbox=""allow-popups allow-scripts allow-modals allow-forms allow-same-origin"" style=""width:120px;height:240px;"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" frameborder=""0"" src=""//ws-na.amazon-adsystem.com/widgets/q?ServiceVersion=20070822&OneJS=1&Operation=GetAdHtml&MarketPlace=US&source=ss&ref=as_ss_li_til&ad_type=product_link&tracking_id=zincucsf-20&language=en_US&marketplace=amazon&region=US&placement=B08CRS29H9&asins=B08CRS29H9&linkId=7460f80c4a1c376b4f5b292d14c39001&show_border=true&link_opens_in_new_window=true""></iframe>"
Amazon,Zinc Supplements for Immune Support,https://www.amazon.com/Sulfate-MaryRuths-Glycerin-Supplement-Provides/dp/B086V9K5F7/ref=sr_1_6?crid=11VLQ1MYPED71&keywords=Zinc+sulfate+children&qid=1688075281&sprefix=zinc+sulfat+children%2Caps%2C130&sr=8-6,11.25,4,drop,2.8125,https://m.media-amazon.com/images/I/71n6chALL7L._AC_SX679_.jpg,,,,,"<iframe sandbox=""allow-popups allow-scripts allow-modals allow-forms allow-same-origin"" style=""width:120px;height:240px;"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" frameborder=""0"" src=""//ws-na.amazon-adsystem.com/widgets/q?ServiceVersion=20070822&OneJS=1&Operation=GetAdHtml&MarketPlace=US&source=ss&ref=as_ss_li_til&ad_type=product_link&tracking_id=zincucsf-20&language=en_US&marketplace=amazon&region=US&placement=B086V9K5F7&asins=B086V9K5F7&linkId=fc4d0f4e74ade9e2dcaf2cd682caf736&show_border=false&link_opens_in_new_window=true""></iframe>"
Amazon,Organic Zinc Supplements for Kids,https://www.amazon.com/Organic-Sulfate-Supplement-Vitamins-Coconut/dp/B088XF6Q8V/ref=sr_1_8?crid=11VLQ1MYPED71&keywords=Zinc+sulfate+children&qid=1688075281&sprefix=zinc+sulfat+children%2Caps%2C130&sr=8-8,15,10,drop,1.5,https://m.media-amazon.com/images/I/81Aoz7eVaDL._AC_SX679_.jpg,,,,,"<iframe sandbox=""allow-popups allow-scripts allow-modals allow-forms allow-same-origin"" style=""width:120px;height:240px;"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" frameborder=""0"" src=""//ws-na.amazon-adsystem.com/widgets/q?ServiceVersion=20070822&OneJS=1&Operation=GetAdHtml&MarketPlace=US&source=ss&ref=as_ss_li_til&ad_type=product_link&tracking_id=zincucsf-20&language=en_US&marketplace=amazon&region=US&placement=B088XF6Q8V&asins=B088XF6Q8V&linkId=e9d2bef265b22045fb82003a0abcfcdf&show_border=true&link_opens_in_new_window=true""></iframe>"
Amazon,"Vimergy Organic Liquid Zinc, Trial Size ",https://www.amazon.com/Vimergy-Organic-Liquid-Zinc-Trial/dp/B0BSLXQV9X/ref=sr_1_2_sspa?crid=2C7H75RHDJYC7&keywords=high+potency+zinc&qid=1688075615&sprefix=high+potency+zinc%2Caps%2C150&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,7.5,2,drop,3.75,https://m.media-amazon.com/images/I/718SYQqTcIL._AC_SX679_.jpg,,,,,"<iframe sandbox=""allow-popups allow-scripts allow-modals allow-forms allow-same-origin"" style=""width:120px;height:240px;"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" frameborder=""0"" src=""//ws-na.amazon-adsystem.com/widgets/q?ServiceVersion=20070822&OneJS=1&Operation=GetAdHtml&MarketPlace=US&source=ss&ref=as_ss_li_til&ad_type=product_link&tracking_id=zincucsf-20&language=en_US&marketplace=amazon&region=US&placement=B0BSLXQV9X&asins=B0BSLXQV9X&linkId=9f4398120f0a760c6493fa3ab32cb0ff&show_border=false&link_opens_in_new_window=true""></iframe>"
Amazon,Zinc 30 - Zinc Vitamin with Enzymax for Enhanced Absorption,https://www.amazon.com/Maxi-Health-Zinc-100-Count/dp/B06Y67KRYC/ref=sr_1_4_sspa?crid=2C7H75RHDJYC7&keywords=high+potency+zinc&qid=1688075615&sprefix=high+potency+zinc%2Caps%2C150&sr=8-4-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,30,1,capsule,30,https://m.media-amazon.com/images/I/61Yy2MU3NjL._AC_SY879_.jpg,,,,,"<iframe sandbox=""allow-popups allow-scripts allow-modals allow-forms allow-same-origin"" style=""width:120px;height:240px;"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" frameborder=""0"" src=""//ws-na.amazon-adsystem.com/widgets/q?ServiceVersion=20070822&OneJS=1&Operation=GetAdHtml&MarketPlace=US&source=ss&ref=as_ss_li_til&ad_type=product_link&tracking_id=zincucsf-20&language=en_US&marketplace=amazon&region=US&placement=B06Y67KRYC&asins=B06Y67KRYC&linkId=a344a1a28925c4592803158707d37ff1&show_border=false&link_opens_in_new_window=true""></iframe>"
Amazon,"Nature Made Zinc 30 mg, Dietary Supplement for Immune Health and Antioxidant Support",https://www.amazon.com/Nature-Made-Zinc-Gluconate-Tablets/dp/B0000DJAPU/ref=sr_1_10?crid=3H95KAR20PASN&keywords=zinc+nature+made+kids&qid=1688079368&sprefix=zinc+nature+ma+kids%2Caps%2C148&sr=8-10,30,1,tablet,30,https://m.media-amazon.com/images/I/71H7yZbuVjL._AC_SX679_.jpg,,,,,"<iframe sandbox=""allow-popups allow-scripts allow-modals allow-forms allow-same-origin"" style=""width:120px;height:240px;"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" frameborder=""0"" src=""//ws-na.amazon-adsystem.com/widgets/q?ServiceVersion=20070822&OneJS=1&Operation=GetAdHtml&MarketPlace=US&source=ss&ref=as_ss_li_til&ad_type=product_link&tracking_id=zincucsf-20&language=en_US&marketplace=amazon&region=US&placement=B0000DJAPU&asins=B0000DJAPU&linkId=ae039bfdb210e6996f83c1c4d9fab895&show_border=false&link_opens_in_new_window=true""></iframe>"
